prefix_len,draft_budget,gamma,accept_rate
8224,257,2,0.9963
8224,257,4,0.9892
8224,257,8,0.9641
8224,257,16,0.9318
8224,513,2,0.9981
8224,513,4,0.9953
8224,513,8,0.9745
8224,513,16,0.9634
8224,1025,2,0.9981
8224,1025,4,0.9938
8224,1025,8,0.9945
8224,1025,16,0.9853
8224,2049,2,1.0000
8224,2049,4,0.9938
8224,2049,8,1.0000
8224,2049,16,1.0000
12320,257,2,0.9817
12320,257,4,0.9669
12320,257,8,0.9141
12320,257,16,0.8187
12320,513,2,0.9945
12320,513,4,0.9877
12320,513,8,0.9823
12320,513,16,0.9068
12320,1025,2,0.9945
12320,1025,4,0.9861
12320,1025,8,0.9668
12320,1025,16,0.9507
12320,2049,2,0.9890
12320,2049,4,0.9861
12320,2049,8,0.9731
12320,2049,16,0.9700
32800,257,2,0.8528
32800,257,4,0.7919
32800,257,8,0.5938
32800,257,16,0.3875
32800,513,2,0.8729
32800,513,4,0.7893
32800,513,8,0.5897
32800,513,16,0.3796
32800,1025,2,0.8729
32800,1025,4,0.7946
32800,1025,8,0.6314
32800,1025,16,0.4214
32800,2049,2,0.8712
32800,2049,4,0.8246
32800,2049,8,0.6731
32800,2049,16,0.4694
16416,257,2,0.9498
16416,257,4,0.8813
16416,257,8,0.7726
16416,257,16,0.6147
16416,513,2,0.9691
16416,513,4,0.9124
16416,513,8,0.8619
16416,513,16,0.6858
16416,1025,2,0.9692
16416,1025,4,0.9109
16416,1025,8,0.8583
16416,1025,16,0.7673
16416,2049,2,0.9799
16416,2049,4,0.9441
16416,2049,8,0.9012
16416,2049,16,0.8156